Chemical formula,Band gap,Crystallinity
YbS,0.176,Polycrystalline
BaF2,9.06,Single crystalline
GaSb,0.725,Single crystalline
Sm2Se3,2.3,Single crystalline
Y2O3,5.6,Single crystalline
SmSb,0.59,Polycrystalline
WO3,2.9,Single crystalline
WSe2,1.35,Single crystalline
CBr4,3.7,Polycrystalline
GaAs,1.51,Single crystalline
PtP2,0.8,Polycrystalline
BP,5.9,
SrSe,4.45,Single crystalline
CdS,2.425,Single crystalline
CdSe,1.815,Single crystalline
GaS,2.591,Single crystalline
Mg3Bi2,0.1,
Bi2Te3,0.16,Single crystalline
GaTe,1.52,Single crystalline
Bi2O3,2.85,Polycrystalline
Gd2O3,1.36,
CdS,2.573,Single crystalline
Nb2O5,1.65,Single crystalline
Mg2Ge,0.54,Single crystalline
PbTe,0.19,Single crystalline
Mg2Sn,0.18,Single crystalline
GaP,2.78,Single crystalline
ThO2,3.2,Polycrystalline
GeO2,6,Amorphous
C,5.47,Single crystalline
TiO2,2.9,Single crystalline
CdO,2.35,Single crystalline
Ga2Te3,1.45,Single crystalline
PbO2,2,
AlBi,0.4,
C,6,
Se,1.8,Single crystalline
SnS2,2.07,Single crystalline
BP,2,Single crystalline
CoO,0.47,Single crystalline
EuTe,1.959,Single crystalline
BaS,3.9,Polycrystalline
BeO,14.5,
AlSb,2.218,Single crystalline
VO2,0.4,Single crystalline
SnTe,0.36,Polycrystalline
HgI2,2.11,Single crystalline
CdP2,1.92,
Mg2Si,2.17,Single crystalline
BAs,1.46,Polycrystalline
ZnP2,2.18,
C,5.41,Single crystalline
As,1.2,Single crystalline
In2Te3,0.84,Single crystalline
HgTe,0.283,Single crystalline
ZnSb,0.61,Single crystalline
TlI,2.67,Single crystalline
MgTe,4.7,
ZnAs2,0.9,Single crystalline
CuP2,1.4,Single crystalline
TiS3,0.9,
GaTe,1.74,Single crystalline
BaO,5.13,Polycrystalline
As2Se3,1.8,Amorphous
ZnSb,0.48,Single crystalline
In2Te3,1,
Zr6O,0.18,Polycrystalline
KCl,7.68,Single crystalline
Bi2Te3,0.13,Single crystalline
HgS,2.095,Single crystalline
In4S5,0.9,Single crystalline
Al2Te3,2.5,
HgI2,2.095,Single crystalline
KI,6.31,Single crystalline
CdP2,2.15,Single crystalline
TlSe,0.96,Single crystalline
Bi2O3,3.1,Polycrystalline
WSe2,1.45,Single crystalline
GeTe,0.8,Polycrystalline
LiF,12.1,Single crystalline
As2S3,2.56,Single crystalline
PtO2,0.2,Polycrystalline
MoS2,1,Polycrystalline
Ag2Te,0.064,Single crystalline
TlSe,0.57,Single crystalline
AlN,5.74,Single crystalline
SiO2,10.4,Single crystalline
MoO3,3.54,Single crystalline
KBr,7.6,Single crystalline
BiI3,1.81,Single crystalline
Bi2S3,1.2,Single crystalline
PrB6,4.9,Single crystalline
GdN,1.54,
AlP,2.42,Polycrystalline
Tl2Te3,0.7,Single crystalline
SnS2,2.88,Single crystalline
Ti2O3,0.04,
Dy2O3,1.39,Polycrystalline
EuO,1.115,Single crystalline
AlAs,2.16,Single crystalline
PbO,1.936,Single crystalline
Tl2O3,1.4,
TiO2,3,Single crystalline
KI,6.08,Single crystalline
Rb3Sb,1,Polycrystalline
NaBr,7.26,Single crystalline
InSe,1.187,Single crystalline
Na3Sb,1.1,Polycrystalline
AsI3,2.29,Single crystalline
InAs,0.356,Single crystalline
MnI2,4.04,Polycrystalline
GaS,2.5,Single crystalline
Zn3Sb2,0.2,Polycrystalline
GeSe2,2.38,Single crystalline
V2O4,0.66,Single crystalline
Y2O3,1.46,
GaAs,1.507,Single crystalline
RbBr,7.25,Single crystalline
KCl,8.9,Single crystalline
GeSe,1.53,Single crystalline
GaN,3.8,Single crystalline
MgSe,5.6,
CdP2,1.93,Single crystalline
HfSe2,2.2,Single crystalline
ZnSb,0.603,Single crystalline
CeO2,5.5,Single crystalline
ZnSb,0.53,Single crystalline
AlSb,1.6,Single crystalline
MgO,7.4,Single crystalline
Cu2Te,1.02,Single crystalline
MgF2,11.8,Single crystalline
Mg2Ge,0.532,Single crystalline
GaS,2.62,Single crystalline
PbTe,0.21,Single crystalline
HgS,2.183,Single crystalline
Ho2O3,2.84,Polycrystalline
Ga2Te3,1.32,Single crystalline
C,5.542,Single crystalline
WO3,2.8,Single crystalline
Mg2Pb,0.041,Single crystalline
Mg2Ge,1.64,
NiO,4,Polycrystalline
Sb2O3,3.2,Polycrystalline
NiO,3.7,Single crystalline
SeTe,0.561,
Bi2Se3,0.35,Single crystalline
BSb,2.6,
InSb,0.175,Single crystalline
Ge,0.88,Single crystalline
ZnSe,2.795,Single crystalline
SnO2,3.69,Single crystalline
Ge,0.665,Single crystalline
PdSe,0.2,Single crystalline
SiAs,1.48,Single crystalline
KF,10.9,Single crystalline
ThO2,5.75,
Ga2O3,4.4,Single crystalline
TeO2,3,Polycrystalline
PbO,2.6,Polycrystalline
AgBr,2.683,Single crystalline
GeS,1.69,Single crystalline
HfS3,2.8,Single crystalline
HgTe,0.19,Single crystalline
Na3Sb,1.1,
CuN3,4.96,Polycrystalline
CdI2,3.857,Single crystalline
As2S5,2.48,Amorphous
MoTe2,0.83,Single crystalline
AsTe,0.74,Amorphous
RbI,6.26,Single crystalline
GaS,2.53,Single crystalline
PbO2,1.7,
InP,1.351,Single crystalline
AlN,5.9,Single crystalline
SnS,1.3,Polycrystalline
LiI,5.9,Single crystalline
BAs,1.6,
B,1.38,Amorphous
ZnTe,2.176,Single crystalline
PrAs,1,Polycrystalline
PbO,2.66,Single crystalline
TlSe,0.7,Single crystalline
P,1.6,Single crystalline
ZnTe,2.25,Single crystalline
MoTe2,1.08,Single crystalline
PbSe,0.26,Single crystalline
B,0.93,Single crystalline
CsI,6.3,Single crystalline
BP,4.5,
CaO,7.7,Single crystalline
Tl2Te3,0.48,Single crystalline
MnO,1.84,Polycrystalline
NaBr,7.7,Single crystalline
PbN6,2.98,Single crystalline
