Chemical formula,Band gap,Crystallinity,Color
As$_{2}$Se$_{3}$,1.63,Amorphous,
Hg$_{2}$Br$_{2}$,2.6,Single crystalline,
Cd$_{3}$P$_{2}$,0.586,Single crystalline,Gray
SnI$_{4}$,2.38,Single crystalline,
ZnO,3.418,Single crystalline,
Se,1.56,Single crystalline,
BaO,3.8,Single crystalline,
Ag$_{2}$S,1,Single crystalline,
CdI$_{2}$,4.228,Single crystalline,
ZnS,3.82,Single crystalline,
FeSi$_{2}$,0.9,Polycrystalline,
ZnAs$_{2}$,0.93,Single crystalline,
Bi$_{0.85}$Sb$_{0.15}$,0.008,Single crystalline,
Sn,0.092,Single crystalline,Gray
HfO$_{2}$,5.55,Polycrystalline,
ZnSb,0.606,Single crystalline,
Cs$_{3}$Sb,1.6,Polycrystalline,
Bi$_{2}$O$_{3}$,2.15,Polycrystalline,
ZnAs$_{2}$,1.3,Single crystalline,
Ce$_{2}$Se$_{3}$,2,Polycrystalline,
BiI$_{3}$,1.93,Single crystalline,
Gd$_{2}$O$_{3}$,2.9,Polycrystalline,
Zr$_{3}$O,0.2,Polycrystalline,
GeSe$_{2}$,2.485,Single crystalline,Yellow-Orange
GaAs,1.435,Single crystalline,
Cu$_{2}$Te,1.08,Polycrystalline,
Si,1.16,Single crystalline,
Ti$_{2}$O$_{3}$,0.05,Single crystalline,
CaB$_{6}$,3.3,Single crystalline,
GeS$_{2}$,3.54,Single crystalline,Amber
In$_{2}$Se$_{3}$,1.2,Polycrystalline,Black
Al$_{2}$O$_{3}$,7.3,Polycrystalline,
GeI$_{2}$,1.5,,
TbO$_{2}$,0.5,Polycrystalline,
PdS$_{2}$,0.75,Single crystalline,
HfSe$_{2}$,1.13,Single crystalline,Dark Red
BeO,11.2,Single crystalline,
V$_{2}$O$_{5}$,2.36,Single crystalline,
Se,2.85,Single crystalline,
FeSe$_{2}$,0.5,Polycrystalline,
PtSb$_{2}$,0.11,Single crystalline,
YbS,0.176,Polycrystalline,
BaF$_{2}$,9.06,Single crystalline,
GaSb,0.725,Single crystalline,
Sm$_{2}$Se$_{3}$,2.3,Single crystalline,
Y$_{2}$O$_{3}$,5.6,Single crystalline,Blue
SmSb,0.59,Polycrystalline,
WO$_{3}$,2.9,Single crystalline,
WSe$_{2}$,1.35,Single crystalline,
CBr$_{4}$,3.7,Polycrystalline,
GaAs,1.51,Single crystalline,
PtP$_{2}$,0.8,Polycrystalline,
BP,5.9,,
SrSe,4.45,Single crystalline,White
CdS,2.425,Single crystalline,
CdSe,1.815,Single crystalline,
GaS,2.591,Single crystalline,
Mg$_{3}$Bi$_{2}$,0.1,,
Bi$_{2}$Te$_{3}$,0.16,Single crystalline,
GaTe,1.52,Single crystalline,
Bi$_{2}$O$_{3}$,2.85,Polycrystalline,
Gd$_{2}$O$_{3}$,1.36,,
CdS,2.573,Single crystalline,
Nb$_{2}$O$_{5}$,1.65,Single crystalline,
Mg$_{2}$Ge,0.54,Single crystalline,
PbTe,0.19,Single crystalline,
Mg$_{2}$Sn,0.18,Single crystalline,
GaP,2.78,Single crystalline,
ThO$_{2}$,3.2,Polycrystalline,
GeO$_{2}$,6,Amorphous,
C,5.47,Single crystalline,
TiO$_{2}$,2.9,Single crystalline,
CdO,2.35,Single crystalline,
Ga$_{2}$Te$_{3}$,1.45,Single crystalline,
PbO$_{2}$,2,,
AlBi,0.4,,
C,6,,
Se,1.8,Single crystalline,
SnS$_{2}$,2.07,Single crystalline,Yellow
BP,2,Single crystalline,
CoO,0.47,Single crystalline,
EuTe,1.959,Single crystalline,
BaS,3.9,Polycrystalline,
BeO,14.5,,
AlSb,2.218,Single crystalline,Dark Gray
VO$_{2}$,0.4,Single crystalline,
SnTe,0.36,Polycrystalline,
HgI$_{2}$,2.11,Single crystalline,Red
CdP$_{2}$,1.92,,
Mg$_{2}$Si,2.17,Single crystalline,
BAs,1.46,Polycrystalline,Dark Brown
ZnP$_{2}$,2.18,,
Ge$_{0.891}$Si$_{0.109}$,1.126,Polycrystalline,
C,5.41,Single crystalline,
As,1.2,Single crystalline,Gray
In$_{2}$Te$_{3}$,0.84,Single crystalline,
HgTe,0.283,Single crystalline,
ZnSb,0.61,Single crystalline,
TlI,2.67,Single crystalline,
MgTe,4.7,,
ZnAs$_{2}$,0.9,Single crystalline,
CuP$_{2}$,1.4,Single crystalline,
TiS$_{3}$,0.9,,
GaTe,1.74,Single crystalline,
BaO,5.13,Polycrystalline,
As$_{2}$Se$_{3}$,1.8,Amorphous,
ZnSb,0.48,Single crystalline,
In$_{2}$Te$_{3}$,1,,Black
Zr$_{6}$O,0.18,Polycrystalline,
KCl,7.68,Single crystalline,
Bi$_{2}$Te$_{3}$,0.13,Single crystalline,
HgS,2.095,Single crystalline,Red
In$_{4}$S$_{5}$,0.9,Single crystalline,
Al$_{2}$Te$_{3}$,2.5,,
HgI$_{2}$,2.095,Single crystalline,Red
KI,6.31,Single crystalline,
CdP$_{2}$,2.15,Single crystalline,Dark Red
TlSe,0.96,Single crystalline,
Bi$_{2}$O$_{3}$,3.1,Polycrystalline,
WSe$_{2}$,1.45,Single crystalline,
GeTe,0.8,Polycrystalline,
LiF,12.1,Single crystalline,
As$_{2}$S$_{3}$,2.56,Single crystalline,
PtO$_{2}$,0.2,Polycrystalline,
MoS$_{2}$,1,Polycrystalline,
Ag$_{2}$Te,0.064,Single crystalline,
TlSe,0.57,Single crystalline,
AlN,5.74,Single crystalline,White
SiO$_{2}$,10.4,Single crystalline,
MoO$_{3}$,3.54,Single crystalline,
KBr,7.6,Single crystalline,
BiI$_{3}$,1.81,Single crystalline,
Bi$_{2}$S$_{3}$,1.2,Single crystalline,
PrB$_{6}$,4.9,Single crystalline,
GdN,1.54,,
AlP,2.42,Polycrystalline,
Tl$_{2}$Te$_{3}$,0.7,Single crystalline,
SnS$_{2}$,2.88,Single crystalline,Yellow
Ti$_{2}$O$_{3}$,0.04$\pm$0.02,,
Dy$_{2}$O$_{3}$,1.39,Polycrystalline,
EuO,1.115,Single crystalline,
AlAs,2.16,Single crystalline,
PbO,1.936,Single crystalline,Red
Tl$_{2}$O$_{3}$,1.4,,
TiO$_{2}$,3,Single crystalline,
KI,6.08,Single crystalline,
Rb$_{3}$Sb,1,Polycrystalline,
NaBr,7.26,Single crystalline,
InSe,1.187,Single crystalline,
Na$_{3}$Sb,1.1,Polycrystalline,
AsI$_{3}$,2.29,Single crystalline,
InAs,0.356,Single crystalline,Dark Gray
MnI$_{2}$,4.04,Polycrystalline,
GaS,2.5,Single crystalline,
Zn$_{3}$Sb$_{2}$,0.2,Polycrystalline,
GeSe$_{2}$,2.38,Single crystalline,
